target,noise_std,n_train,model,train_mse,test_mse
sin_pi_x,0.0,2,constant,0.2550036011380976,0.7467149602039956
sin_pi_x,0.0,2,linear,1.3310083583179953e-31,2.003380021233767
sin_pi_x,0.0,2,origin,0.06929380259348673,0.49399439352191543
sin_pi_x,0.0,3,constant,0.32652809608874783,0.6749574490750356
sin_pi_x,0.0,3,linear,0.04834608010323025,0.8898555599489371
sin_pi_x,0.0,3,origin,0.10388433827994441,0.37601832551824704
sin_pi_x,0.0,5,constant,0.40728653667650055,0.5956279395607473
sin_pi_x,0.0,5,linear,0.09610771876138403,0.4172714793216929
sin_pi_x,0.0,5,origin,0.14389118731211892,0.28436835227038976
sin_pi_x,0.0,10,constant,0.44612249599242726,0.552571303555695
sin_pi_x,0.0,10,linear,0.15509069779088952,0.25173367240707784
sin_pi_x,0.0,10,origin,0.17090726030708778,0.23392454819203112
sin_pi_x,0.0,20,constant,0.471899828390346,0.524719166339936
sin_pi_x,0.0,20,linear,0.17580179859869885,0.22025703954275372
sin_pi_x,0.0,20,origin,0.18250314328646722,0.21032443563861045
sin_pi_x,0.0,50,constant,0.48961160635799794,0.5092991383149061
sin_pi_x,0.0,50,linear,0.18721633745282262,0.2058268462837926
sin_pi_x,0.0,50,origin,0.19088788522643668,0.20151078879984044
sin_pi_x,0.0,100,constant,0.493182130357009,0.5055182304411097
sin_pi_x,0.0,100,linear,0.19023440289570778,0.20039146410409653
sin_pi_x,0.0,100,origin,0.19456527589329028,0.19836605842234478
sin_pi_x,0.0,200,constant,0.4974909647400514,0.5026697603610475
sin_pi_x,0.0,200,linear,0.19395751445810508,0.19827589911672786
sin_pi_x,0.0,200,origin,0.19454090911668268,0.19738628556855087
sin_pi_x,0.3,2,constant,0.29673326899425345,0.8787604764608397
sin_pi_x,0.3,2,linear,1.092488617858004e-29,160.80462586152976
sin_pi_x,0.3,2,origin,0.11402129240934013,0.6618881987702655
sin_pi_x,0.3,3,constant,0.3844329257146037,0.7837701386364088
sin_pi_x,0.3,3,linear,0.07830344719311819,1.136359892587541
sin_pi_x,0.3,3,origin,0.15609956482843262,0.5215360759951583
sin_pi_x,0.3,5,constant,0.4882194621163919,0.7028949818493866
sin_pi_x,0.3,5,linear,0.15310963734162708,0.5659853668256146
sin_pi_x,0.3,5,origin,0.21405563098051808,0.3875667312139888
sin_pi_x,0.3,10,constant,0.5299788005146713,0.6523203367141778
sin_pi_x,0.3,10,linear,0.2216680457811201,0.36143471225597046
sin_pi_x,0.3,10,origin,0.24914991991423324,0.3348488494047266
sin_pi_x,0.3,20,constant,0.5605530409944435,0.6195756935652699
sin_pi_x,0.3,20,linear,0.25468250435118783,0.32118654588902085
sin_pi_x,0.3,20,origin,0.2656255458841565,0.30531209569940587
sin_pi_x,0.3,50,constant,0.5819054886677059,0.6018121569801653
sin_pi_x,0.3,50,linear,0.27260043706958764,0.29940208895487347
sin_pi_x,0.3,50,origin,0.27375170661200615,0.2933808462655738
sin_pi_x,0.3,100,constant,0.5827607453777007,0.5962345616855591
sin_pi_x,0.3,100,linear,0.2773036786972316,0.29190699693754824
sin_pi_x,0.3,100,origin,0.28278457202039564,0.2897119908437048
sin_pi_x,0.3,200,constant,0.5872729260646724,0.5918901187781
sin_pi_x,0.3,200,linear,0.2841995752397372,0.2889423407350895
sin_pi_x,0.3,200,origin,0.2848025841179241,0.288164301956454
x_squared,0.0,2,constant,0.04525171562460058,0.13209054675582924
x_squared,0.0,2,linear,4.198761734404932e-32,0.5644248442939254
x_squared,0.0,2,origin,0.0537218410348556,0.3125996772998384
x_squared,0.0,3,constant,0.05638522534501001,0.119199826844596
x_squared,0.0,3,linear,0.016341361831370534,0.333456903376901
x_squared,0.0,3,origin,0.10089782068311397,0.29708414008826783
x_squared,0.0,5,constant,0.06869723538146995,0.1090941747388771
x_squared,0.0,5,linear,0.03955407315262474,0.2047751832464087
x_squared,0.0,5,origin,0.12788203201472872,0.27634740228558985
x_squared,0.0,10,constant,0.08119266161249843,0.09727274595221388
x_squared,0.0,10,linear,0.06546101971495637,0.12264882914289621
x_squared,0.0,10,origin,0.1533394120487394,0.24387052471345733
x_squared,0.0,20,constant,0.0853296041120551,0.09311245408229224
x_squared,0.0,20,linear,0.07845122423110394,0.10217390106675225
x_squared,0.0,20,origin,0.18107881829528835,0.221326993738231
x_squared,0.0,50,constant,0.08740801364351596,0.09065297602351333
x_squared,0.0,50,linear,0.08422088124021619,0.09426873225056495
x_squared,0.0,50,origin,0.19330218247684267,0.20736210205597802
x_squared,0.0,100,constant,0.08812241374024495,0.08974943948510221
x_squared,0.0,100,linear,0.08576343455072451,0.09124700010527306
x_squared,0.0,100,origin,0.1949070602411571,0.20417595076597805
x_squared,0.0,200,constant,0.0885454166791297,0.08927794252805406
x_squared,0.0,200,linear,0.08788140396785195,0.09004037314725888
x_squared,0.0,200,origin,0.19745305770828425,0.20173084378926406
x_squared,0.3,2,constant,0.08907557483948221,0.2676038438082477
x_squared,0.3,2,linear,7.982412916479748e-30,155.33422070782478
x_squared,0.3,2,origin,0.0971967506689946,0.48082173061410083
x_squared,0.3,3,constant,0.11303161903944746,0.23703958047104595
x_squared,0.3,3,linear,0.04347337966992191,0.8086591752081752
x_squared,0.3,3,origin,0.16303183325746426,0.4461885869694304
x_squared,0.3,5,constant,0.1370076635007045,0.21848017874288234
x_squared,0.3,5,linear,0.09305413995697918,0.3563745268477695
x_squared,0.3,5,origin,0.2047424531042757,0.383975198416127
x_squared,0.3,10,constant,0.1629075241977592,0.19632392247058258
x_squared,0.3,10,linear,0.1375775638277126,0.23845085511263653
x_squared,0.3,10,origin,0.23156471956919528,0.34509023337571887
x_squared,0.3,20,constant,0.1707201200013171,0.1871471439657065
x_squared,0.3,20,linear,0.15754322270177618,0.20235759224607908
x_squared,0.3,20,origin,0.2676050386558043,0.3145601666758541
x_squared,0.3,50,constant,0.17657137548551652,0.18247571176916777
x_squared,0.3,50,linear,0.17119617834313125,0.18788193921246046
x_squared,0.3,50,origin,0.279205763834309,0.298858689076174
x_squared,0.3,100,constant,0.1768338951152453,0.18071809179007356
x_squared,0.3,100,linear,0.17413563800586757,0.183069954917853
x_squared,0.3,100,origin,0.28457277465097275,0.2955882540805122
x_squared,0.3,200,constant,0.17791635452505555,0.17968878917789102
x_squared,0.3,200,linear,0.17647079077706423,0.18078018671891782
x_squared,0.3,200,origin,0.2872962086289126,0.2927052368943042
